inventar_nummer,bezeichnung,urheber,geo,datum,masse,material_technik,sammlung,creditline,provenienz,kurzbeschreibung,literatur,bildnachweis,credits,dateiname
2009.137,"Patolu, Doppel-Ikat Seidensari, vohra gaji bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 436 x 111 cm,Seide und Zari-Faden (Goldfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Eberhard Fischer; Kunsthandel, Ahmedabad, Indien",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.137.jpg
2009.158,"Patolu, Doppel-Ikat Seidensari, ratan chok bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 372 x 130 cm,Seide und Zari-Faden (Goldfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Eberhard Fischer; Kunsthandel, Ahmedabad, Indien",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.158.jpg
2009.149,"Patolu, Doppel-Ikat Seidensari, vohra gaji bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 428 x 116 cm,Seide und Zari-Faden (Goldfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.149.jpg
2009.176,"Patolu, Doppel-Ikat Seidensari, gala vali bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 442 x 104 cm,Seide / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.176.jpg
2009.104,"Patolu, Doppel-Ikat odhani, tran ful bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 224 x 82 cm,Seide und Zari-Faden (Silberfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Eberhard Fischer; Kunsthandel, Ahmedabad, Indien",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.104.jpg
2009.118,"Patolu, Doppel-Ikat Seidensari, nari kunjar bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 380 x 134 cm,Seide und Zari-Faden (Goldfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.118.jpg
2009.127,"Patolu, Doppel-Ikat Seidensari, popat kunjar bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 432 x 131 cm,Seide und Zari-Faden (Goldfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Eberhard Fischer; Kunsthandel, Ahmedabad, Indien",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.127.jpg
2009.133,"Patolu, Doppel-Ikat Seidensari, vohra gaji bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 433 x 114 cm,Seide und Zari-Faden (Goldfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Eberhard Fischer; Kunsthandel, Ahmedabad, Indien",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.133.jpg
2009.102,"Patolu, Doppel-Ikat Seidensari, fulvadi bhat",Standardkünstler,Indien,um 1900,Textilfläche: 352 x 101 cm,"Seide, Baumwolle? und Zari-Faden (Silberfaden) / Doppel-Ikat",Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Eberhard Fischer; Kunsthandel, Ahmedabad, Indien",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.102.jpg
2009.86,"Patolu, Doppel-Ikat Seidensari, tran ful bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 450 x 99 cm,Seide und Zari-Faden (Silberfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.86.jpg
2009.94,"Patolu, Fragment eines Doppel-Ikat Seidensaris, tran ful bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 175 x 98 cm,Seide und Zari-Faden (Silberfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.94.jpg
2009.167,"Patolu, Doppel-Ikat Seidensari / odhani, ??",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 356 x 135 cm,Seide und Zari-Faden (Silberfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Eberhard Fischer; Kunsthandel, Ahmedabad, Indien",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.167.jpg
2009.177,"Patolu, Doppel-Ikat Seidensari, gala vali bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 471 x 114 cm,Seide / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.177.jpg
2009.54,"Patolu, Doppel-Ikat Seidensari, pan bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 348 x 130 cm,"Seide (Faden, Kette) (Bemerkung: Farben Kette: weiss, gelb, rot, hellgrün, dunkelgrün, schwarz
Faden ungezwirnt); Seide (Faden, Eintrag) (Bemerkung: Farben Eintrag: weiss, gelb, rot, dunkelgrün, schwarz
Faden ungezwirnt); gewoben, Doppel-Ikat (Bemerkung: Bindung: Leinwand
Dichte: 20 x 22 / cm2

Musterung:
Rapporte Kette: 15
Rapporte Eintrag: 18 
Satzgrösse Kette: 6
Satzgrösse Eintrag: 8

Färbung/Musterungstechniken:
Reservemusterung im Garn
Eintrag-Abschluss: Fransen und abgeschnitten
)",Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer","Musterung/Ornamente:
Gruppe 1; Motiv Typ 1 (siehe Referenzen > Literatur)
Das Hauptfeld zeigt ""pan bhat"" Design, Blatt-Muster (leaf pattern).
Auffallend ist das reine Weiss; bei der unteren Endbordüre bewirken die roten Kett-Fäden verwoben mit orangen Eintrags-Fäden einen glänzenden Chanchan-Effekt; den Abschluss bei der oberen Endbordüre bildet ein Streifen im Eintrag-Ikat.
","Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.54.jpg
2009.110,"Patolu, Doppel-Ikat Seidensari, tran ful bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 418 x 140 cm,Seide / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.110.jpg
2009.100,"Patolu, Doppel-Ikat Gürtel, fulvadi bhat",Standardkünstler,Indonesien,um 1900,Textilfläche: 106 x 18 cm,Seide und Zari-Faden (Goldfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.100.jpg
2009.67,"Patolu, Doppel-Ikat Seidensari, pan bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 356 x 129 cm,Seide / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Eberhard Fischer; Kunsthandel, Ahmedabad, Indien",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.67.jpg
2009.181,"Patolu, Doppel-Ikat Seidensari, popat kunjar bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 425 x 103 cm,Seide und Zari-Faden (Silberfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.181.jpg
2009.61,"Patolu, Doppel-Ikat Seidensari, pan bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 350 x 132 cm,Seide / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.61.jpg
2009.85,"Patolu, Doppel-Ikat Seidensari, pan bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 350 x 112 cm,Seide und Zari-Faden (Silberfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Eberhard Fischer; Kunsthandel, Ahmedabad, Indien",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.85.jpg
2009.135,"Patolu, Doppel-Ikat Seidensari, vorhra gaji bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 440 x 114 cm,Seide und Zari-Faden (Silberfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.135.jpg
2009.63,"Patolu, Fragment eines Doppel-Ikat Seidensaris, pan bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 180 x 128 cm,Seide / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.63.jpg
