inventar_nummer,bezeichnung,urheber,geo,datum,masse,material_technik,sammlung,creditline,provenienz,kurzbeschreibung,literatur,bildnachweis,credits,dateiname
2009.137,"Patolu, Doppel-Ikat Seidensari, vohra gaji bhat",Urheber*in unbekannt,"Indien, Gujarat",um 1900,Gesamtmass: 436 x 111 cm,"Seide eingefärbt (Grundstoff, Faden, Kette) (Bemerkung: Farben Kette: weiss, gelb, rot, türkis, grün, blauschwarz
Faden ungezwirnt); Seide eingefärbt (Grundstoff, Faden, Eintrag) (Bemerkung: Farben Eintrag: weiss, gelb, rot, türkis, grün, blauschwarz
Faden ungezwirnt); Zari (Goldfaden, Zusatz-Eintrag); gewoben, Doppel-Ikat (Bemerkung: Bindung: Leinwand
Dichte: 32 x 14 / cm2

Musterung:
Rapporte Kette: 4
Rapporte Eintrag: 12
Satzgrösse Kette: 9
Satzgrösse Eintrag: 5, 6

Färbung/Musterungtechniken:
Reservemusterung im Garn
Zusatz-Eintrag: Goldfaden (Zari-Faden) in Querstreifen der Endbordüren)",Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"1968: Kunsthandel, Ahmedabad, Indien; 1968–2009: Eberhard Fischer (* 1941), Sammler*in; vermutlich 1965: Eberhard Fischer (*1941), Sammler*in, Ahmedabad, Indien; 2009: Museum Rietberg, Begünstigte/r; 2009: Museum Rietberg, Begünstigte*r, Zürich","Musterung/Ornamente:
Gruppe 4, Motiv Typ 23
Das Hauptfeld zeigt ""vohra gaji bhat"" Design.
Das Muster der Rahmenbordüre ist im Motiv Typ 4.
In der oberen Endbordüre hat es einen breiten Streifen mit Goldfaden. Beide Endbordüren enden mit einem Streifen Eintrag-Ikat.","Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009","© Museum Rietberg, Zürich, Foto: Nanny Boller","This work is licensed under a Creative Commons Attribution Share-Alike [4.0] License.  https://creativecommons.org/licenses/by-sa/4.0/legalcode  
Attribution: Patolu, Doppel-Ikat Seidensari, vohra gaji bhat, Indien, Gujarat, um 1900, Museum Rietberg, Sammlung Eberhard Fischer, Inv.-Nr. 2009.137, Geschenk Eberhard und Barbara Fischer © Museum Rietberg, Zürich, Foto: Nanny Boller",2009.137.jpg
2009.158,"Patolu, Doppel-Ikat Seidensari, ratan chok bhat",Urheber*in unbekannt,"Indien, Gujarat",um 1900,Gesamtmass: 372 x 130 cm,"Seide eingefärbt (Grundstoff, Faden, Kette) (Bemerkung: Farben Kette: weiss, gelb, orange, rot, violett, türkis, grün
Faden ungezwirnt); Seide eingefärbt (Grundstoff, Faden, Eintrag) (Bemerkung: Farben Eintrag:  weiss, gelb, orange, rot, violett, türkis, grün
Faden ungezwirnt); Zari (Goldfaden, Zusatz-Eintrag); gewoben, Doppel-Ikat (Bemerkung: Bindung: Leinwand
Dichte: 22 x 22 / cm2

Musterung:
Rapporte Kette: 5
Rapporte Eintrag: 12
Satzgrösse Kette: 6
Satzgrösse Eintrag: 10

Färbung/Musterungtechniken:
Reservemusterung im Garn 
Zusatz-Eintrag: Zari-Faden (Goldfaden)
Eintrag-Abschluss: Fransen)",Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"1968: Kunsthandel, Ahmedabad, Indien; 1968–2009: Eberhard Fischer (* 1941), Sammler*in; vermutlich 1965: Eberhard Fischer (*1941), Sammler*in, Ahmedabad, Indien; 2009: Museum Rietberg, Begünstigte/r; 2009: Museum Rietberg, Begünstigte*r, Zürich","Musterung/Ornamente:
Gruppe 4; Motiv Typ 33 
Das Hauptfeld zeigt ""ratan chok bhat"" Design; auf beiden Seiten des Hauptfeldes hat es eine Längsbordüre mit abwechselnd Elefanten- und Papageien-Muster; vor den längsgestreiften Seitenbordüren folgt eine schmale Längsbordüre mit Zickzack-Muster; die Querstreifen der Endbordüren entsprechen Motiv Typ 1; einen Streifen mit Goldfaden ziert die obere Endbordüre, einen Streifen mit Eintrag-Ikat in den unteren.","Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009","© Museum Rietberg, Zürich, Foto: Nanny Boller","This work is licensed under a Creative Commons Attribution Share-Alike [4.0] License.  https://creativecommons.org/licenses/by-sa/4.0/legalcode  
Attribution: Patolu, Doppel-Ikat Seidensari, ratan chok bhat, Indien, Gujarat, um 1900, Museum Rietberg, Sammlung Eberhard Fischer, Inv.-Nr. 2009.158, Geschenk Eberhard und Barbara Fischer © Museum Rietberg, Zürich, Foto: Nanny Boller",2009.158.jpg
2009.149,"Patolu, Doppel-Ikat Seidensari, vohra gaji bhat",Urheber*in unbekannt,"Indien, Gujarat",um 1900,Gesamtmass: 428 x 116 cm,"Seide eingefärbt (Grundstoff, Faden, Kette) (Bemerkung: Farben Kette: weiss, gelb, rot, violett, hellgrün
Faden ungezwirnt); Seide eingefärbt (Grundstoff, Faden, Eintrag) (Bemerkung: Farben Eintrag: weiss, gelb, rot, violett, hellgrün
Faden ungezwirnt); Zari (Goldfaden, Zusatz-Eintrag); gewoben, Doppel-Ikat (Bemerkung: Bindung: Leinwand
Dichte: 24 x 18 / cm2

Musterung:
Rapporte Kette: 5
Rapporte Eintrag: 12  
Satzgrösse Kette: 6
Satzgrösse Eintrag: 6 

Färbung/Musterungtechniken:
Bemalung / Druck
Reservemusterung im Garn 
Zusatz-Eintrag: Zari-Faden (Goldfaden))",Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"1968: Kunsthandel, Ahmedabad, Indien; 1968–2009: Eberhard Fischer (* 1941), Sammler*in; vermutlich 1965: Eberhard Fischer (*1941), Sammler*in, Ahmedabad, Indien; 2009: Museum Rietberg, Begünstigte/r; 2009: Museum Rietberg, Begünstigte*r, Zürich","Musterung/Ornamente:
Gruppe 4; Motiv Typ 23a 
Das Hauptfeld zeigt ""vohra gaji bhat"" Design; eine Rahmenbordüren um das Hauptfeld; beidseitig durchlaufende, längsgestreifte Seitenbordüren; Querstreifen mit Tumpal-Muster; Streifen mit Eintrag-Ikat und nur in der oberen Endbordüre einen zusätzlichen Querstreifen mit Goldfaden-Eintrag.","Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009","© Museum Rietberg, Zürich, Foto: Nanny Boller","This work is licensed under a Creative Commons Attribution Share-Alike [4.0] License.  https://creativecommons.org/licenses/by-sa/4.0/legalcode  
Attribution: Patolu, Doppel-Ikat Seidensari, vohra gaji bhat, Indien, Gujarat, um 1900, Museum Rietberg, Sammlung Eberhard Fischer, Inv.-Nr. 2009.149, Geschenk Eberhard und Barbara Fischer © Museum Rietberg, Zürich, Foto: Nanny Boller",2009.149.jpg
2009.176,"Patolu, Doppel-Ikat Seidensari, gala vali bhat",Urheber*in unbekannt,"Indien, Gujarat",um 1900,Gesamtmass: 442 x 104 cm,"Seide eingefärbt (Grundstoff, Faden, Kette) (Bemerkung: Farben Kette: weiss, gelb, orange, rot, violett, blau, grün
Faden ungezwirnt); Seide eingefärbt (Grundstoff, Faden, Eintrag) (Bemerkung: Farben Eintrag: weiss, gelb, orange, rot, violett, blau, grün
Faden ungezwirnt); gewoben, Doppel-Ikat (Bemerkung: Bindung: Leinwand
Dichte: 32 x 16 / cm2

Musterung:
Rapporte Kette: 
Rapporte Eintrag: 
Satzgrösse Kette: 15
Satzgrösse Eintrag: 6

Färbung/Musterungtechniken:
Reservemusterung im Garn 
Eintrag-Abschluss: Fransen)",Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"1968: Kunsthandel, Ahmedabad, Indien; 1968–2009: Eberhard Fischer (* 1941), Sammler*in; vermutlich 1965: Eberhard Fischer (*1941), Sammler*in, Ahmedabad, Indien; 2009: Museum Rietberg, Begünstigte/r; 2009: Museum Rietberg, Begünstigte*r, Zürich","Musterung/Ornamente:
Gruppe 5; Motiv Typ 37
Das rote Hauptfeld zeigt ""gala vali bhat"".","Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009","© Museum Rietberg, Zürich, Foto: Nanny Boller","This work is licensed under a Creative Commons Attribution Share-Alike [4.0] License.  https://creativecommons.org/licenses/by-sa/4.0/legalcode  
Attribution: Patolu, Doppel-Ikat Seidensari, gala vali bhat, Indien, Gujarat, um 1900, Museum Rietberg, Sammlung Eberhard Fischer, Inv.-Nr. 2009.176, Geschenk Eberhard und Barbara Fischer © Museum Rietberg, Zürich, Foto: Nanny Boller",2009.176.jpg
2009.104,"Patolu, Doppel-Ikat odhani, tran ful bhat",Urheber*in unbekannt,"Indien, Gujarat",um 1900,Gesamtmass: 224 x 82 cm,"Seide eingefärbt (Grundstoff, Faden, Kette) (Bemerkung: Farben Kette: weiss, gelb, rot, hellgrün, braun
Faden ungezwirnt); Seide eingefärbt (Grundstoff, Faden, Eintrag) (Bemerkung: Farben Eintrag: weiss, gelb, rot, hellgrün, braun
Faden ungezwirnt); Zari (Silberfaden, Zusatz-Eintrag) (Bemerkung: mit Silber umwickelter gelber Seidenfaden); gewoben, Doppel-Ikat (Bemerkung: Bindung: Leinwand
Dichte: 16-20 x 16 / cm2  (Dichte variiert: sehr dünne Stellen)

Musterung:
Rapporte Kette: 9
Rapporte Eintrag: 9
Satzgrösse Kette: 6
Satzgrösse Eintrag: 4 

Färbung/Musterungtechniken:
Reservemusterung im Garn 
Zusatz-Eintrag: Zari-Faden)",Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"1968: Kunsthandel, Ahmedabad, Indien; 1968–2009: Eberhard Fischer (* 1941), Sammler*in; vermutlich 1965: Eberhard Fischer (*1941), Sammler*in, Ahmedabad, Indien; 2009: Museum Rietberg, Begünstigte/r; 2009: Museum Rietberg, Begünstigte*r, Zürich","Musterung/Ornamente:
Das Hauptfeld zeigt ""tran ful bhat"" Design. (siehe Referenzen > Literatur)
Das Hauptfeld zeigt Motiv Typ 5c.
Die inneren Längsbordüren haben auf der Höhe des Hauptfeldes Motiv Typ 25.
Die Querstreifen in den Endbordüren sind neue Varianten von MT5; es gibt keine direkte Parallelen.
Die obere Endbordüre hat drei dünne Querstreifen mit Silberfaden und endet mit einem Streifen Eintrag-Ikat, welcher nur in der Breite des Hauptfeldes ist.","Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009","© Museum Rietberg, Zürich, Foto: Nanny Boller","This work is licensed under a Creative Commons Attribution Share-Alike [4.0] License.  https://creativecommons.org/licenses/by-sa/4.0/legalcode  
Attribution: Patolu, Doppel-Ikat odhani, tran ful bhat, Indien, Gujarat, um 1900, Museum Rietberg, Sammlung Eberhard Fischer, Inv.-Nr. 2009.104, Geschenk Eberhard und Barbara Fischer © Museum Rietberg, Zürich, Foto: Nanny Boller",2009.104.jpg
2009.118,"Patolu, Doppel-Ikat Seidensari, nari kunjar bhat",Urheber*in unbekannt,"Indien, Gujarat",um 1900,Gesamtmass: 380 x 134 cm,"Seide eingefärbt (Grundstoff, Faden, Kette) (Bemerkung: Farben Kette: weiss, gelb, orange, rot, grün, schwarz
Faden ungezwirnt); Seide eingefärbt (Grundstoff, Faden, Eintrag) (Bemerkung: Farben Eintrag: weiss, gelb, orange, rot, grün, schwarz
Faden ungezwirnt); Zari (Goldfaden, Zusatz-Eintrag); gewoben, Doppel-Ikat (Bemerkung: Bindung: Leinwand
Dichte: 24 x 24 / cm2

Musterung:
Rapporte Kette: 3
Rapporte Eintrag: 4 und seitenverkehrt nochmals 4
Satzgrösse Kette: 8
Satzgrösse Eintrag: 8

Färbung/Musterungtechniken:
Reservemusterung im Garn 
Zusatz-Eintrag: Zari-Faden in Querstreifen der Endbordüre)",Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"1968: Kunsthandel, Ahmedabad, Indien; 1968–2009: Eberhard Fischer (* 1941), Sammler*in; vermutlich 1965: Eberhard Fischer (*1941), Sammler*in, Ahmedabad, Indien; 2009: Museum Rietberg, Begünstigte/r; 2009: Museum Rietberg, Begünstigte*r, Zürich","Musterung/Ornamente:
Gruppe 3; Motiv Typ 13. 
Das Hauptfeld zeigt ""nari kunjar bhat"" Design.
In der oberen Endbordüre hat es einen breiten Streifen mit Goldfaden. Die andere Endbordüre endet mit einem Streifen Eintrag-Ikat.","Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009","© Museum Rietberg, Zürich, Foto: Nanny Boller","This work is licensed under a Creative Commons Attribution Share-Alike [4.0] License.  https://creativecommons.org/licenses/by-sa/4.0/legalcode  
Attribution: Patolu, Doppel-Ikat Seidensari, nari kunjar bhat, Indien, Gujarat, um 1900, Museum Rietberg, Sammlung Eberhard Fischer, Inv.-Nr. 2009.118, Geschenk Eberhard und Barbara Fischer © Museum Rietberg, Zürich, Foto: Nanny Boller",2009.118.jpg
2009.127,"Patolu, Doppel-Ikat Seidensari, popat kunjar bhat",Urheber*in unbekannt,"Indien, Gujarat",um 1900,Gesamtmass: 432 x 131 cm,"Seide eingefärbt (Grundstoff, Faden, Kette) (Bemerkung: Farben Kette: weiss, gelb, orange, rot, violett, grün
Faden ungezwirnt); Seide eingefärbt (Grundstoff, Faden, Eintrag) (Bemerkung: Farben Eintrag: weiss, gelb, orange, rot, violett, grün
Faden ungezwirnt); Zari (Goldfaden, Zusatz-Eintrag); gewoben, Doppel-Ikat (Bemerkung: Bindung: Leinwand
Dichte: 24 x 22 / cm2

Musterung:
Rapporte Kette: 3
Rapporte Eintrag: 4 und seitenverkehrt nochmals 4
Satzgrösse Kette: 7, 8
Satzgrösse Eintrag: 8

Färbung/Musterungtechniken:
Reservemusterung im Garn
Zusatz-Eintrag: Zari-Faden in Querstreifen der Endbordüre)",Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"1968: Kunsthandel, Ahmedabad, Indien; 1968–2009: Eberhard Fischer (* 1941), Sammler*in; vermutlich 1965: Eberhard Fischer (*1941), Sammler*in, Ahmedabad, Indien; 2009: Museum Rietberg, Begünstigte/r; 2009: Museum Rietberg, Begünstigte*r, Zürich","Musterung/Ornamente:
Gruppe 3; Motiv Typ 14 
Das Hauptfeld zeigt ""popat kunjar bhat"" Design.
In der oberen Endbordüre hat es einen breiten Streifen mit Goldfaden. Die andere Endbordüre endet mit einem Streifen Eintrag-Ikat. 
Auffallend ist das leuchtende Pink (Eintrag) mit der die obere Endbordüre abschliesst.","Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009","© Museum Rietberg, Zürich, Foto: Nanny Boller","This work is licensed under a Creative Commons Attribution Share-Alike [4.0] License.  https://creativecommons.org/licenses/by-sa/4.0/legalcode  
Attribution: Patolu, Doppel-Ikat Seidensari, popat kunjar bhat, Indien, Gujarat, um 1900, Museum Rietberg, Sammlung Eberhard Fischer, Inv.-Nr. 2009.127, Geschenk Eberhard und Barbara Fischer © Museum Rietberg, Zürich, Foto: Nanny Boller",2009.127.jpg
2009.133,"Patolu, Doppel-Ikat Seidensari, vohra gaji bhat",Urheber*in unbekannt,"Indien, Gujarat",um 1900,Gesamtmass: 433 x 114 cm,"Seide eingefärbt (Grundstoff, Faden, Kette) (Bemerkung: Farben Kette: weiss, gelb, hellrot, rot, grün, schwarz
Faden ungezwirnt); Seide eingefärbt (Grundstoff, Faden, Eintrag) (Bemerkung: Farben Eintrag: weiss, gelb, hellrot, rot, grün, schwarz
Faden ungezwirnt); Zari (Goldfaden, Zusatz-Eintrag); gewoben, Doppel-Ikat (Bemerkung: Bindung: Leinwand 
Dichte: 36 x 14 / cm2

Musterung:
Rapporte Kette: 4
Rapporte Eintrag: 12
Satzgrösse Kette:  9
Satzgrösse Eintrag: 4, 5

Färbung/Musterungtechniken:
Reservemusterung im Garn 
Zusatz-Eintrag: Zari-Faden)",Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"1968: Kunsthandel, Ahmedabad, Indien; 1968–2009: Eberhard Fischer (* 1941), Sammler*in; vermutlich 1965: Eberhard Fischer (*1941), Sammler*in, Ahmedabad, Indien; 2009: Museum Rietberg, Begünstigte/r; 2009: Museum Rietberg, Begünstigte*r, Zürich","Musterung/Ornamente:
Gruppe 4, Motiv Typ 23 (siehe Referenzen > Literatur)
Das Hauptfeld zeigt ""vohra gaji bhat"" Design.
Das Muster der Rahmenbordüre ist im Motiv Typ 4.
In der oberen Endbordüre hat es einen breiten Streifen mit Goldfaden. Beide Endbordüren enden mit einem Streifen Eintrag-Ikat.
","Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009","© Museum Rietberg, Zürich, Foto: Nanny Boller","This work is licensed under a Creative Commons Attribution Share-Alike [4.0] License.  https://creativecommons.org/licenses/by-sa/4.0/legalcode  
Attribution: Patolu, Doppel-Ikat Seidensari, vohra gaji bhat, Indien, Gujarat, um 1900, Museum Rietberg, Sammlung Eberhard Fischer, Inv.-Nr. 2009.133, Geschenk Eberhard und Barbara Fischer © Museum Rietberg, Zürich, Foto: Nanny Boller",2009.133.jpg
2009.102,"Patolu, Doppel-Ikat Seidensari, fulvadi bhat",Urheber*in unbekannt,Indien,um 1900,Gesamtmass: 352 x 101 cm,"Seide eingefärbt (Grundstoff, Faden, Kette) (Bemerkung: Farben Kette: weiss, gelb, orange, rot, violett, hellgrün
Faden ungezwirnt); Seide eingefärbt (Grundstoff, Faden, Eintrag) (Bemerkung: Farben Eintrag: weiss, gelb, orange, rot, violett, hellgrün, blauviolett
Faden ungezwirnt); Zari (Silberfaden, Zusatz-Eintrag) (Bemerkung: mit Silber umwickelter gelber Seidenfaden); Baumwollfaser eingefärbt  (Längsbordüre, Faden, Kette) (Bemerkung: Farben Kette: weiss, gelb, lila, braun, hellgrün); Baumwollfaser (Längsbordüre, Faden, Zusatz-Kette); gewoben, Doppel-Ikat (Bemerkung: Bindung: Leinwand
Dichte: 16 x 20 / cm2

Musterung:
Rapporte Kette: 10
Rapporte Eintrag: 20
Satzgrösse Kette: 4
Satzgrösse Eintrag: 4 - 6

Färbung/Musterungtechniken:
Reservemusterung im Garn 
Zusatz-Eintrag: Zari-Faden in Querstreifen der oberen Endbordüre
Zusatz-Kette: In den Längsbordüren sind die Kettfäden doppelt geführt)",Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"1968: Kunsthandel, Ahmedabad, Indien; 1968–2009: Eberhard Fischer (* 1941), Sammler*in; vermutlich 1965: Eberhard Fischer (*1941), Sammler*in, Ahmedabad, Indien; 2009: Museum Rietberg, Begünstigte/r; 2009: Museum Rietberg, Begünstigte*r, Zürich","Musterung/Ornamente:
Gruppe 2; Motiv Typ 8k (siehe Referenzen > Literatur)
Das Hauptfeld zeigt ""fulvadi bhat"" Design.
Die obere Endbordüre hat einen Querstreifen mit Goldfaden; sowohl die untere wie auch die obere Endbordüre endet mit einem Streifen Eintrag-Ikat.","Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009","© Museum Rietberg, Zürich, Foto: Nanny Boller","This work is licensed under a Creative Commons Attribution Share-Alike [4.0] License.  https://creativecommons.org/licenses/by-sa/4.0/legalcode  
Attribution: Patolu, Doppel-Ikat Seidensari, fulvadi bhat, Indien, um 1900, Museum Rietberg, Sammlung Eberhard Fischer, Inv.-Nr. 2009.102, Geschenk Eberhard und Barbara Fischer © Museum Rietberg, Zürich, Foto: Nanny Boller",2009.102.jpg
2009.86,"Patolu, Doppel-Ikat Seidensari, tran ful bhat",Urheber*in unbekannt,"Indien, Gujarat",um 1900,Gesamtmass: 450 x 99 cm,"Seide eingefärbt (Grundstoff, Faden, Kette) (Bemerkung: Farben Kette: weiss, orange, rot, blau, violett
Faden ungezwirnt); Seide eingefärbt (Grundstoff, Faden, Eintrag) (Bemerkung: Farben Eintrag: weiss, orange, rot, blau, violett
Faden ungezwirnt); Zari (Silberfaden, Zusatz-Eintrag) (Bemerkung: mit Silber umwickelter gelber Seidenfaden); gewoben, Doppel-Ikat (Bemerkung: Bindung: Leinwand
Dichte: 24 x 28 / cm2

Musterung:
Rapporte Kette: 9
Rapporte Eintrag: 32
Satzgrösse Kette: 9
Satzgrösse Eintrag: 5 

Färbung/Musterungtechniken:
Reservemusterung im Garn 
Zusatz-Eintrag: Zari-Faden in Querstreifen der Endbordüre
Eintrag-Abschluss: Fransen
)",Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"1968: Kunsthandel, Ahmedabad, Indien; 1968–2009: Eberhard Fischer (* 1941), Sammler*in; vermutlich 1965: Eberhard Fischer (*1941), Sammler*in, Ahmedabad, Indien; 2009: Museum Rietberg, Begünstigte/r; 2009: Museum Rietberg, Begünstigte*r, Zürich","Musterung/Ornamente:
Gruppe 2; Motiv Typ 4 (siehe Referenzen > Literatur)
Das Hauptfeld zeigt ""tran ful bhat"" Design.
Die obere Endbordüre hat eine Partie mit  Silberfaden. Im darunter liegenden weissen Querstreifen stehen mit schwarzer Tinte geschrieben Buchstaben.
","Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009","© Museum Rietberg, Zürich, Foto: Nanny Boller","This work is licensed under a Creative Commons Attribution Share-Alike [4.0] License.  https://creativecommons.org/licenses/by-sa/4.0/legalcode  
Attribution: Patolu, Doppel-Ikat Seidensari, tran ful bhat, Indien, Gujarat, um 1900, Museum Rietberg, Sammlung Eberhard Fischer, Inv.-Nr. 2009.86, Geschenk Eberhard und Barbara Fischer © Museum Rietberg, Zürich, Foto: Nanny Boller",2009.86.jpg
