start_date,end_date,summary,created_date
2018-08-01T00:00:00Z,2018-08-02T00:00:00Z,Nationalfeiertag,2015-09-04T00:00:00Z
2018-08-01T00:00:00Z,2018-08-18T00:00:00Z,"Schulen Stadt Zürich: Sommerferien",2015-10-19T00:00:00Z
2018-08-20T00:00:00Z,2018-08-21T00:00:00Z,"Schulen Stadt Zürich: Schuljahresbeginn",2015-08-30T00:00:00Z
2018-09-10T00:00:00Z,2018-09-11T00:00:00Z,Knabenschiessen,2015-09-04T00:00:00Z
2018-09-10T00:00:00Z,2018-09-11T00:00:00Z,"Schulen Stadt Zürich schulfrei: Knabenschiessen",2015-08-30T00:00:00Z
2018-10-08T00:00:00Z,2018-10-20T00:00:00Z,"Schulen Stadt Zürich: Herbstferien",2015-08-30T00:00:00Z
2018-12-21T00:00:00Z,2018-12-22T00:00:00Z,"Schulen Stadt Zürich: Schulschluss um 12 Uhr",2015-08-30T00:00:00Z
2018-12-24T00:00:00Z,2018-12-25T00:00:00Z,Heiligabend,2015-09-04T00:00:00Z
2018-12-24T00:00:00Z,2019-01-05T00:00:00Z,"Schulen Stadt Zürich: Weihnachtsferien",2015-08-30T00:00:00Z
2018-12-25T00:00:00Z,2018-12-26T00:00:00Z,Weihnachten,2015-09-04T00:00:00Z
2018-12-26T00:00:00Z,2018-12-27T00:00:00Z,Stephanstag,2015-10-19T00:00:00Z
2018-12-31T00:00:00Z,2019-01-01T00:00:00Z,Silvester,2015-09-04T00:00:00Z
2019-01-01T00:00:00Z,2019-01-02T00:00:00Z,Neujahrstag,2015-09-04T00:00:00Z
2019-01-02T00:00:00Z,2019-01-03T00:00:00Z,Berchtoldstag,2015-09-04T00:00:00Z
2019-02-11T00:00:00Z,2019-02-23T00:00:00Z,"Schulen Stadt Zürich: Sportferien",2015-08-30T00:00:00Z
2019-04-08T00:00:00Z,2019-04-09T00:00:00Z,"Schulen Stadt Zürich schulfrei: Sechseläuten",2015-08-30T00:00:00Z
2019-04-18T00:00:00Z,2019-04-19T00:00:00Z,"Gründonnerstag",2015-09-04T00:00:00Z
2019-04-18T00:00:00Z,2019-04-23T00:00:00Z,"Schulen Stadt Zürich schulfrei: Gründonnerstag bis Ostermontag",2015-08-30T00:00:00Z
2019-04-19T00:00:00Z,2019-04-20T00:00:00Z,Karfreitag,2015-09-04T00:00:00Z
2019-04-21T00:00:00Z,2019-04-22T00:00:00Z,Ostern,2015-09-04T00:00:00Z
2019-04-22T00:00:00Z,2019-04-23T00:00:00Z,Ostermontag,2015-09-04T00:00:00Z
2019-04-22T00:00:00Z,2019-05-04T00:00:00Z,"Schulen Stadt Zürich: Frühlingsferien",2015-08-30T00:00:00Z
2019-05-01T00:00:00Z,2019-05-02T00:00:00Z,"Tag der Arbeit",2015-09-04T00:00:00Z
2019-05-30T00:00:00Z,2019-05-31T00:00:00Z,Auffahrt,2015-09-04T00:00:00Z
2019-05-30T00:00:00Z,2019-06-01T00:00:00Z,"Schulen Stadt Zürich schulfrei: Auffahrt und Freitag nach Auffahrt",2015-08-30T00:00:00Z
2019-06-09T00:00:00Z,2019-06-10T00:00:00Z,Pfingsten,2015-09-04T00:00:00Z
2019-06-10T00:00:00Z,2019-06-11T00:00:00Z,Pfingstmontag,2015-09-04T00:00:00Z
2019-06-10T00:00:00Z,2019-06-11T00:00:00Z,"Schulen Stadt Zürich schulfrei: Pfingsten und Pfingstmontag",2015-08-30T00:00:00Z
2019-07-12T00:00:00Z,2019-07-13T00:00:00Z,Schuljahresende,2015-09-04T00:00:00Z
2019-07-15T00:00:00Z,2019-08-17T00:00:00Z,"Schulen Stadt Zürich: Sommerferien (KW 29-33)",2015-08-30T00:00:00Z
2019-08-19T00:00:00Z,2019-08-20T00:00:00Z,"Schulen Stadt Zürich: Schuljahresbeginn",2015-08-30T00:00:00Z
2019-09-09T00:00:00Z,2019-09-10T00:00:00Z,"Schulen Stadt Zürich schulfrei: Knabenschiessen",2015-08-30T00:00:00Z
2019-10-07T00:00:00Z,2019-10-19T00:00:00Z,"Schulen Stadt Zürich: Herbstferien",2015-08-30T00:00:00Z
2019-12-20T00:00:00Z,2019-12-21T00:00:00Z,"Schulen Stadt Zürich: Schulschluss um 12 Uhr",2015-08-30T00:00:00Z
2019-12-23T00:00:00Z,2020-01-04T00:00:00Z,"Schulen Stadt Zürich: Weihnachtsferien",2015-08-30T00:00:00Z
